user_id,product_id
3,1002
44,1017
2,1038
31,1060
38,1019
38,1041
38,1056
18,1006
33,1075
22,1042
3,1063
23,1032
49,1024
41,1082
1,1051
25,1043
32,1088
17,1084
34,1042
10,1065
2,1099
45,1090
15,1012
37,1093
43,1053
39,1023
9,1027
46,1039
12,1070
7,1032
45,1095
41,1012
39,1080
9,1098
29,1004
9,1041
45,1003
45,1020
50,1006
26,1024
33,1034
16,1095
9,1043
8,1065
45,1083
42,1007
3,1029
36,1028
13,1018
42,1077
21,1084
24,1026
14,1098
30,1001
10,1037
30,1047
26,1029
33,1009
38,1093
3,1059
3,1029
32,1100
46,1029
32,1042
4,1090
12,1059
40,1095
34,1031
34,1039
2,1005
15,1067
18,1012
48,1054
15,1049
50,1094
16,1020
39,1040
35,1016
44,1052
21,1004
35,1033
22,1088
5,1090
33,1034
42,1007
29,1093
43,1076
9,1056
49,1045
44,1022
47,1077
47,1033
29,1031
4,1099
20,1003
26,1018
29,1086
29,1008
18,1092
46,1084
18,1025
14,1009
27,1004
13,1051
6,1007
30,1087
30,1056
15,1091
41,1023
18,1040
50,1073
38,1073
43,1017
25,1008
25,1052
5,1016
49,1098
36,1016
41,1069
3,1075
11,1086
19,1018
8,1068
47,1079
24,1052
40,1086
46,1057
8,1057
9,1080
42,1097
37,1043
41,1060
20,1076
30,1054
24,1033
1,1074
23,1089
19,1054
47,1086
25,1098
34,1014
13,1082
10,1092
20,1095
1,1047
28,1022
6,1067
35,1065
45,1049
22,1032
17,1068
49,1020
16,1075
16,1073
21,1090
32,1095
1,1057
50,1005
49,1062
49,1074
33,1059
9,1023
19,1013
3,1042
41,1011
24,1091
30,1042
36,1030
41,1094
5,1077
39,1036
11,1017
12,1078
5,1080
22,1006
12,1084
47,1005
50,1084
1,1039
46,1022
29,1046
30,1048
36,1036
33,1019
22,1032
38,1024
35,1067
11,1011
5,1052
11,1039
39,1011
42,1091
16,1083
20,1041
25,1036
29,1091
39,1011
27,1078
34,1008
13,1052
7,1047
21,1075
38,1045
36,1008
47,1043
50,1061
39,1058
3,1056
15,1029
30,1049
38,1014
26,1009
8,1053
50,1076
40,1094
47,1021
21,1061
2,1086
42,1003
37,1015
24,1059
1,1078
2,1086
20,1008
15,1016
22,1069
5,1026
31,1033
47,1045
37,1053
41,1076
43,1080
18,1031
19,1068
36,1090
11,1015
49,1020
7,1069
17,1095
18,1008
36,1043
21,1094
38,1019
30,1058
47,1025
29,1051
11,1007
12,1014
39,1026
45,1086
15,1095
10,1054
34,1029
5,1039
9,1087
32,1075
25,1006
45,1023
49,1035
14,1027
23,1060
28,1076
47,1051
45,1020
25,1067
12,1014
9,1018
31,1070
39,1001
16,1056
14,1038
34,1018
23,1030
11,1016
41,1001
36,1068
28,1007
43,1026
38,1019
43,1027
16,1054
30,1068
42,1027
8,1069
38,1006
38,1035
27,1028
20,1026
29,1065
16,1052
18,1062
12,1002
28,1080
45,1041
36,1057
29,1054
36,1073
11,1048
9,1067
35,1030
23,1040
7,1023
16,1007
21,1002
4,1095
18,1079
36,1005
41,1059
25,1030
20,1088
22,1019
40,1084
14,1043
23,1052
13,1090
30,1006
31,1012
43,1047
47,1054
32,1053
15,1083
12,1038
22,1044
12,1081
44,1075
29,1075
48,1092
13,1026
44,1092
34,1024
50,1062
46,1044
48,1013
49,1006
49,1064
24,1060
24,1001
35,1045
32,1099
5,1008
39,1090
29,1043
33,1092
10,1013
41,1001
36,1092
14,1056
47,1097
20,1040
19,1082
44,1060
39,1072
46,1037
37,1001
9,1075
36,1027
30,1092
45,1022
49,1030
50,1027
20,1013
33,1097
14,1036
2,1097
27,1055
49,1076
17,1011
41,1037
9,1049
28,1005
23,1002
15,1082
16,1089
47,1028
5,1004
46,1008
31,1008
47,1036
10,1065
10,1064
10,1072
48,1076
5,1001
48,1066
31,1049
36,1035
45,1074
3,1069
8,1088
49,1081
25,1037
29,1026
39,1091
39,1082
13,1040
18,1011
49,1012
49,1069
21,1096
7,1054
49,1095
40,1088
33,1094
13,1055
43,1035
40,1022
4,1075
35,1010
37,1042
48,1076
40,1097
47,1050
8,1066
6,1089
4,1029
30,1081
26,1084
9,1033
8,1071
35,1021
10,1091
7,1046
33,1035
45,1013
26,1041
41,1081
1,1037
47,1067
5,1002
29,1093
28,1029
3,1094
11,1007
27,1087
35,1027
33,1049
1,1032
17,1048
43,1073
37,1012
11,1070
44,1079
41,1042
30,1071
8,1004
16,1074
26,1085
23,1044
6,1044
7,1017
25,1089
43,1070
33,1031
20,1021
40,1045
29,1065
47,1064
8,1031
33,1002
31,1063
41,1028
9,1089
19,1049
4,1030
41,1089
1,1087
48,1038
28,1093
2,1047
22,1035
25,1055
42,1018
11,1015
21,1014
12,1042
49,1055
23,1001
3,1002
50,1059
46,1018
39,1012
40,1034
25,1081
25,1035
18,1070
49,1019
20,1059
1,1028
12,1001
4,1069
1,1028
43,1066
43,1071
7,1014
26,1022
35,1025
7,1022
33,1053
34,1021
8,1022
